F,x,grad
0.115,0.001501321189824989,0.09991233860604429
0.116,0.0016012410233674501,0.09992280275605891
0.117,0.0017011699936482771,0.09993150348882775
0.118,0.0018011066199268844,0.09993881572661772
0.119,0.0019010497265896653,0.09994501974770606
0.12,0.0020009983680970844,0.09995032849245844
0.121,0.0021009517750881224,0.09995490609677092
0.122,0.0022009093149927272,0.09995888073295267
0.123,0.002300870462788207,0.09996235367273537
0.124,0.0024008347789741813,0.09996540579179973
0.125,0.002500801892765969,0.09996810230955226
0.126,0.0026007714891162492,0.09997049629115112
0.127,0.00270074329858222,0.09997263126806283
0.128,0.002800717089334659,0.09997454322203028
0.129,0.0029006926182365,0.09997626356952583
0.13,0.003000669756926755,0.09997781572224088
0.131,0.0031006483599270718,0.09997922062697488
0.132,0.003200628291395169,0.09998049631481709
0.133,0.0033006094317325485,0.09998165814217627
0.134,0.003400591667063857,0.09998271949276674
0.135,0.0035005749079979886,0.09998369152337645
0.136,0.003600559077684806,0.09998458380432314
0.137,0.0037005441010060647,0.09998540482554487
0.138,0.0038005299107319868,0.09998616197668345
0.139,0.003900516446511737,0.09998686171385385
0.14,0.004000503654016108,0.09998750969765637
0.141,0.004100491484204327,0.0999881109079577
0.142,0.004200479892695785,0.09998866973981471
0.143,0.004300468839229354,0.0999891900839868
0.144,0.004400458287197817,0.09998967539476593
0.145,0.004500448203240304,0.09999012874748955
0.146,0.004600438556891184,0.09999055288733229
0.147,0.004700429320272537,0.09999095027094222
0.148,0.004800420467825139,0.09999132310207798
0.149,0.004900411976072383,0.09999167336221443
0.15,0.005000403823412269,0.09999200283691356
0.151,0.0051003959899340034,0.09999231313861552
0.152,0.0052003884572557335,0.09999260572639586
0.153,0.005300381208380445,0.09999288192314225
0.154,0.00540037422756795,0.09999314293052679
0.155,0.005500367500220926,0.09999338984209376
0.156,0.005600361012782995,0.09999362365472747
0.157,0.0057003547526475185,0.09999384527872605
0.158,0.005800348708075886,0.09999405554667118
0.159,0.0059003428681240755,0.09999425522125606
0.16,0.006000337222576535,0.09999444500220846
0.161,0.006100331761886457,0.09999462553242648
0.162,0.006200326477122153,0.0999947974034287
0.163,0.0063003213599181485,0.09999496116020339
0.164,0.006400316402430994,0.09999511730553243
0.165,0.0065003115972991354,0.0999952663038536
0.166,0.00660030693760677,0.09999540858471685
0.167,0.006700302416850268,0.09999554454588211
0.168,0.006800298028907914,0.09999567455610148
0.169,0.006900293768012544,0.0999957989576209
0.17,0.007000289628726009,0.09999591806843393
0.171,0.007100285605513679,0.09999603218998304
0.172,0.007200281693820643,0.09999614159336426
0.173,0.007300277889225659,0.09999624653298993
0.174,0.007400274187389921,0.09999634724841094
0.175,0.0075002705842058814,0.0999964439633229
0.176,0.007600267075781875,0.09999653688680886
0.177,0.007700263658428352,0.0999966262144701
0.178,0.007800260328644615,0.09999671212945567
0.179,0.007900257083107376,0.0999967948034018
0.18,0.008000253918659161,0.09999687439728938
0.181,0.008100250832298261,0.099996951062228
0.182,0.008200247821169515,0.09999702494017336
0.183,0.008300244882555152,0.0999970961645848
0.184,0.008400242013866577,0.09999716486102833
0.185,0.00850023921263715,0.09999723114772999
0.186,0.008600236476514755,0.09999729513608482
0.187,0.008700233803255408,0.09999735693112538
0.188,0.00880023119071699,0.09999741663195225
0.189,0.008900228636853691,0.09999747433213206
0.19,0.009000226139710521,0.09999753012006407
0.191,0.009100223697418308,0.09999758407931862
0.192,0.00920022130818926,0.09999763628895046
0.193,0.009300218970312302,0.09999768682378841
0.194,0.009400216682149187,0.09999773575470342
0.195,0.009500214442130561,0.09999778314885721
0.196,0.009600212248752515,0.09999782906993278
0.197,0.009700209935033566,0.09999787528447494
0.198,0.009800207836981045,0.09999791835578482
0.199,0.009900205781125493,0.0999979601308515
0.2,0.010000203766208637,0.09999800066113886
